tube.x,tube.y,sn.x,sn.y,cm.x,cm.y,t
42.36,59.27,39.45,43.45,32.36,44.18,0:00:00:000
42.36,59.27,39.45,43.45,32.18,44.36,0:00:00:004
42.36,59.27,39.45,43.45,32.55,44.36,0:00:00:008
42.36,59.27,39.45,43.45,32.36,44.36,0:00:00:012
42.36,59.27,39.45,43.27,32.55,44.36,0:00:00:016
42.36,59.27,39.27,42.91,32.73,44.36,0:00:00:020
42.36,59.27,39.45,42.18,32.73,44.55,0:00:00:024
42.36,59.27,39.09,41.27,32.73,45.09,0:00:00:029
42.36,59.27,38.36,40.36,32.91,45.09,0:00:00:033
42.36,59.27,38.18,39.82,32.91,45.27,0:00:00:037
42.36,59.27,37.64,39.27,33.09,45.45,0:00:00:041
42.36,59.27,36.73,38.73,33.09,45.45,0:00:00:045
42.36,59.27,35.45,38.18,33.27,45.64,0:00:00:049
42.36,59.27,34.91,38,33.45,45.64,0:00:00:054
42.36,59.27,33.64,37.82,33.64,45.45,0:00:00:058
42.36,59.27,33.09,37.82,34,45.27,0:00:00:062
42.36,59.27,32.55,37.64,34,45.27,0:00:00:066
42.36,59.27,31.64,37.45,34,45.09,0:00:00:070
42.36,59.27,31.27,37.27,34.18,44.55,0:00:00:075
42.36,59.27,30.91,37.09,34,44,0:00:00:079
42.36,59.27,30.73,36.91,33.82,43.64,0:00:00:083
42.36,59.27,30.55,36.55,33.45,42.91,0:00:00:087
42.36,59.27,30.36,36,33.27,42.73,0:00:00:091
42.36,59.27,30.36,35.64,32.91,42.36,0:00:00:095
42.36,59.27,30.36,35.27,32.55,41.82,0:00:00:099
42.36,59.27,30.73,34.73,32.36,41.09,0:00:00:104
42.36,59.27,30.73,34.18,32.18,40.91,0:00:00:108
42.36,59.27,30.73,33.82,31.82,40.36,0:00:00:112
42.36,59.27,30.73,33.45,31.64,40,0:00:00:116
42.36,59.27,30.73,32.91,31.45,39.45,0:00:00:120
42.36,59.27,30.55,32.36,31.45,38.91,0:00:00:124
42.36,59.27,30.55,32,31.27,38,0:00:00:129
42.36,59.27,30.36,31.45,31.27,37.45,0:00:00:133
42.36,59.27,30.18,30.91,31.09,36.36,0:00:00:137
42.36,59.27,30,30.55,30.91,35.64,0:00:00:141
42.36,59.27,29.82,30,30.73,34.91,0:00:00:145
42.36,59.27,29.82,29.64,30.73,34.55,0:00:00:150
42.36,59.27,29.64,29.09,30.55,33.82,0:00:00:154
42.36,59.27,29.64,28.55,30.55,33.27,0:00:00:158
42.36,59.27,29.64,28,30.55,33.09,0:00:00:162
42.36,59.27,30,27.45,30.36,32.55,0:00:00:166
42.36,59.27,30,27.09,30.36,32.18,0:00:00:170
42.36,59.27,30,26.55,30.36,31.64,0:00:00:175
42.36,59.27,30.18,26.18,30.36,31.45,0:00:00:179
42.36,59.27,30.36,25.45,30.36,31.09,0:00:00:183
42.36,59.27,30.73,25.09,30.36,30.91,0:00:00:187
42.36,59.27,30.91,24.73,30.18,30.36,0:00:00:191
42.36,59.27,31.09,24.36,30.18,30,0:00:00:195
42.36,59.27,31.27,24,30.18,29.64,0:00:00:199
42.36,59.27,31.45,23.82,30.18,29.45,0:00:00:204
42.36,59.27,31.82,23.45,30.18,29.09,0:00:00:208
42.36,59.27,32,23.27,30.18,28.55,0:00:00:212
42.36,59.27,32.18,22.91,30.18,28.18,0:00:00:216
42.36,59.27,32.36,22.55,30.36,27.82,0:00:00:220
42.36,59.27,32.36,22.36,30.36,27.64,0:00:00:225
42.36,59.27,32.55,22,30.55,27.27,0:00:00:229
42.36,59.27,32.55,21.82,30.55,26.91,0:00:00:233
42.36,59.27,32.91,21.45,30.55,26.73,0:00:00:237
42.36,59.27,32.91,21.27,30.73,26.36,0:00:00:241
42.36,59.27,33.27,21.09,30.73,26.18,0:00:00:245
42.36,59.27,33.45,20.73,30.73,26,0:00:00:249
42.36,59.27,33.45,20.55,30.73,25.82,0:00:00:254
42.36,59.27,33.64,20.36,30.91,25.45,0:00:00:258
42.36,59.27,33.64,20.18,30.91,25.27,0:00:00:262
42.36,59.27,33.64,19.82,31.09,24.91,0:00:00:266
42.36,59.27,33.82,19.64,31.27,24.36,0:00:00:270
42.36,59.27,33.82,19.45,31.45,24.18,0:00:00:274
42.36,59.27,33.82,19.27,31.64,23.82,0:00:00:279
