tube.x,tube.y,sn.x,sn.y,cm.x,cm.y,t
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:000
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:004
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:008
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:012
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:016
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:020
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:024
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:029
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:033
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:037
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:041
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:045
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:049
46.33,59.75,44.9,32.91,37.03,31.48,0:00:00:054
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:058
46.33,59.75,44.9,32.91,37.03,31.48,0:00:00:062
46.33,59.75,44.9,32.91,37.03,31.48,0:00:00:066
46.33,59.75,44.9,32.91,37.03,31.48,0:00:00:070
46.33,59.75,44.9,32.91,37.03,31.48,0:00:00:075
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:079
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:083
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:087
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:091
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:095
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:099
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:104
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:108
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:112
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:116
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:120
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:124
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:129
46.33,59.75,44.9,33.09,37.03,31.48,0:00:00:133
